time [s],Lr [g cm^-3],Lc [g cm^-3],Nc [cm^-3],Nr [cm^-3]
        0.,        0.0000000000,        0.0000010000,    50.000,     0.000
        1.,        0.0000000000,        0.0000010000,    49.989,     0.000
        2.,        0.0000000000,        0.0000010000,    49.977,     0.000
        3.,        0.0000000000,        0.0000010000,    49.966,     0.000
        4.,        0.0000000000,        0.0000010000,    49.955,     0.000
        5.,        0.0000000000,        0.0000010000,    49.943,     0.000
        6.,        0.0000000000,        0.0000010000,    49.932,     0.000
        7.,        0.0000000000,        0.0000010000,    49.921,     0.000
        8.,        0.0000000000,        0.0000010000,    49.909,     0.000
        9.,        0.0000000000,        0.0000010000,    49.898,     0.000
       10.,        0.0000000000,        0.0000010000,    49.887,     0.000
       11.,        0.0000000000,        0.0000010000,    49.875,     0.000
       12.,        0.0000000000,        0.0000010000,    49.864,     0.000
       13.,        0.0000000000,        0.0000010000,    49.853,     0.000
       14.,        0.0000000000,        0.0000010000,    49.841,     0.000
       15.,        0.0000000000,        0.0000010000,    49.830,     0.000
       16.,        0.0000000000,        0.0000010000,    49.819,     0.000
       17.,        0.0000000000,        0.0000010000,    49.807,     0.000
       18.,        0.0000000000,        0.0000010000,    49.796,     0.000
       19.,        0.0000000000,        0.0000010000,    49.785,     0.000
       20.,        0.0000000000,        0.0000010000,    49.773,     0.000
       21.,        0.0000000000,        0.0000010000,    49.762,     0.000
       22.,        0.0000000000,        0.0000010000,    49.751,     0.000
       23.,        0.0000000000,        0.0000010000,    49.739,     0.000
       24.,        0.0000000000,        0.0000010000,    49.728,     0.000
       25.,        0.0000000000,        0.0000010000,    49.717,     0.000
       26.,        0.0000000000,        0.0000010000,    49.705,     0.000
       27.,        0.0000000001,        0.0000009999,    49.694,     0.000
       28.,        0.0000000001,        0.0000009999,    49.683,     0.000
       29.,        0.0000000001,        0.0000009999,    49.671,     0.000
       30.,        0.0000000001,        0.0000009999,    49.660,     0.000
       31.,        0.0000000001,        0.0000009999,    49.649,     0.000
       32.,        0.0000000001,        0.0000009999,    49.637,     0.000
       33.,        0.0000000001,        0.0000009999,    49.626,     0.000
       34.,        0.0000000001,        0.0000009999,    49.615,     0.000
       35.,        0.0000000001,        0.0000009999,    49.603,     0.000
       36.,        0.0000000001,        0.0000009999,    49.592,     0.000
       37.,        0.0000000001,        0.0000009999,    49.581,     0.000
       38.,        0.0000000001,        0.0000009999,    49.569,     0.000
       39.,        0.0000000001,        0.0000009999,    49.558,     0.000
       40.,        0.0000000001,        0.0000009999,    49.547,     0.000
